from_id,to_id,cost,dist,time,isblocked
v14,v25,43.53,48.367,67.714,False
v25,v48,73.572,81.746,114.445,False
v25,v7,10.548,11.72,16.408,False
v13,v25,41.9,46.555,65.177,False
v14,v38,34.688,38.543,53.96,False
v25,v46,15.832,17.592,24.628,False
v7,v13,29.622,32.913,46.079,False
v14,v46,16.234,18.037,25.252,False
v32,v7,6.806,7.563,10.588,False
v46,v11,11.824,13.138,18.393,False
v46,v13,4.8,5.333,7.466,False
v13,v43,7.242,8.046,11.265,False
v34,v46,4.0,0.57,6.0,False
v11,v12,4.0,3.781,6.0,False
v2,v43,4.0,3.309,6.0,False
v34,v17,6.077,6.753,9.454,False
v11,v31,4.0,0.5,6.0,False
v48,v2,12.762,14.18,19.852,False
v44,v12,4.0,1.202,6.0,False
v2,v44,4.0,1.313,6.0,False
v12,v19,5.757,6.396,8.955,False
v44,v23,4.0,3.164,6.0,False
v31,v17,4.0,2.895,6.0,False
v29,v31,4.0,1.173,6.0,False
v12,v47,4.0,4.106,6.0,False
v12,v17,4.0,3.444,6.0,False
v29,v12,4.0,0.56,6.0,False
v49,v23,4.0,0.5,6.0,False
v29,v47,4.0,0.667,6.0,False
v40,v49,4.0,1.897,6.0,False
v17,v9,4.834,5.371,7.52,False
v32,v21,30.939,34.377,48.128,False
v23,v40,4.0,1.526,6.0,False
v4,v21,8.122,9.025,12.635,False
v47,w1,4.0,1.205,6.0,False
v16,v19,6.107,6.786,9.5,False
v47,v40,4.0,3.338,6.0,False
